IATA,ICAO,Airline,Callsign,Country
RU,ABW,AirBridge Cargo,AIRBRIDGE CARGO,Russia
RU,SKI,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands
RV,AFI,Africaone,AFRICAWORLD,The Gambia
RV,CPN,Caspian Airlines,CASPIAN,Iran
RV,ROU,Air Canada Rouge,ROUGE,Canada
RW,RPA,Republic Airlines,BRICKYARD,United States
RX,AEH,Aviaexpress,AVEX,Hungary
RX,RGE,Regent Airways,REGENT,Bangladesh
RZ,LRS,Sansa,,Costa Rica
S0,OKS,Slok Air Gambia,SLOK GAMBIA,Gambia
S2,RSH,Air Sahara,SAHARA,India
S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela
S4,RZO,SATA International,AIR AZORES,Portugal
S5,TCF,Shuttle America,MERCURY,United States
S5,TSJ,Trast Aero,TRAST AERO,Kyrgyzstan
S6,SRR,Star Air,WHITESTAR,Denmark
S7,SBI,S7 Airlines,SIBERIAN AIRLINES,Russia
S8,CSU,Chari Aviation Services,CHARI SERVICE,Chad
S8,SWW,Shovkoviy Shlyah,WAY AERO,Ukraine
S8,SWZ,Skywise Airline,SKYWISE,South Africa
S9,HSA,East African Safari Air,DUMA,Kenya
SA,SAA,South African Airways,SPRINGBOK,South Africa
SB,ACI,Air Caledonie International,AIRCALIN,France
SC,CDG,Shandong Airlines,SHANDONG,China
SD,SUD,Sudan Airways,SUDANAIR,Sudan
SE,SEU,XL Airways France,STARWAY,France
SF,DTH,Tassili Airlines,TASSILI AIR,Algeria
SG,JGO,JetsGo,JETSGO,Canada
SG,SEJ,Spicejet,SPICEJET,India
SH,FLY,Fly Me Sweden,FLYBIRD,Sweden
SH,SHA,Sharp Airlines,SHARP,Australia
SI,SIH,Skynet Airlines,BLUEJET,Ireland
SJ,FOM,Freedom Air,FREE AIR,New Zealand
SK,CNO,SAS Braathens,SCANOR,Norway
SK,SAS,Scandinavian Airlines,SCANDINAVIAN,"Sweden, Denmark and Norway"
SL,RSL,Rio Sul Serviços Aéreos Regionais,RIO SUL,Brazil
SL,TLM,Thai Lion Mentari,MENTARI,Thailand
SM,AAW,Aberdeen Airways,,United Kingdom
SM,SRL,Swedline Express,Starline,Sweden
SN,BEL,Brussels Airlines,BEE-LINE,Belgium
SN,BXI,Brussels International Airlines,XENIA,Belgium
SO,AAS,Sunshine Airlines,,
SO,HKA,Superior Aviation,SPEND AIR,United States
SO,OSL,Sosoliso Airlines,SOSOLISO,Nigeria
SP,SAT,SATA Air Acores,SATA,Portugal
SQ,SIA,Singapore Airlines,SINGAPORE,Singapore
SQ,SQC,Singapore Airlines Cargo,SINGCARGO,Singapore
SR,SDR,Sundair,SUNDAIR,Germany
SR,SWR,Swissair,SWISSAIR,Switzerland
SS,CRL,Corsairfly,CORSAIR,France
SS,CRL,Corsairfly,CORSAIR,France
ST,GMI,Germania,GERMANIA,Germany
ST,STT,"Western Aircraft, Inc",SAWTOOTH,United States
SU,AFL,Aeroflot Russian Airlines,AEROFLOT,Russia
SV,SVA,Saudia,SAUDIA,Saudi Arabia
SW,NMB,Air Namibia,NAMIBIA,Namibia
SX,SKB,Skybus Airlines,SKYBUS,United States
SX,SRK,Sky Work Airlines,SKYFOX,Switzerland
SY,SCX,Sun Country Airlines,SUN COUNTRY,United States
SZ,WOW,Air Southwest,SWALLOW,United Kingdom
T2,TCG,Thai Air Cargo,THAI CARGO,Thailand
T3,EZE,Eastern Airways,EASTFLIGHT,United Kingdom
T4,TIB,TRIP Linhas Aéreas,TRIP,Brazil
T5,TUA,Turkmenhovayollary,TURKMENISTAN,Turkmenistan
T6,TVR,Tavrey Airlines,TAVREY,Ukraine
T7,TJT,Twin Jet,TWINJET,France
T9,TRZ,TransMeridian Airlines,TRANS-MERIDIAN,United States
T9,TSX,Thai Star Airlines,THAI STAR,Thailand
TC,ATC,Air Tanzania,TANZANIA,Tanzania
TC,ATC,Air Tanzania Company Limited,TANZANIA,Tanzania
TD,LUR,Atlantis European Airways,,Armenia
TD,TLP,Tulip Air,TULIPAIR,Netherlands
TE,IGA,Skytaxi,IGUANA,Poland
TE,LIL,FlyLal,LITHUANIA AIR,Lithuania
TF,SCW,Malmö Aviation,SCANWING,Sweden
TG,THA,Thai Airways International,THAI,Thailand
TH,TSE,Transmile Air Services,TRANSMILE,Malaysia
TI,TOL,Tol-Air Services,TOL AIR,United States
TJ,GPD,Tradewind Aviation,GOODSPEED,United States
TK,THY,Turkish Airlines,TURKISH,Turkey
TL,ANO,Airnorth,TOPEND,Australia
TL,TMA,Trans Mediterranean Airlines,TANGO LIMA,Lebanon
TM,LAM,Linhas Aéreas de Moçambique,MOZAMBIQUE,Mozambique
TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France
TO,PSD,President Airlines,,Cambodia
TO,TVF,Transavia France,FRANCE SOLEIL,France
TP,TAP,TAP Portugal,AIR PORTUGAL,Portugal
TQ,TDM,Tandem Aero,TANDEM,Moldova
TR,TBA,Transbrasil,TRANSBRASIL,Brazil
TR,TGW,Scoot,SCOOTER,Singapore
TR,TGW,Tigerair Singapore,GO CAT,Singapore
TS,TSC,Air Transat,AIR TRANSAT,Canada
TT,KLA,Air Lithuania,KAUNAS,Lithuania
TT,TGG,Tigerair Australia,TIGGOZ,Australia
TU,TAR,Tunisair,TUNAIR,Tunisia
TV,VEX,Virgin Express,VIRGIN EXPRESS,Belgium
TW,TWB,T'way Air,TWAYAIR,Republic of Korea
TX,FWI,Air Caraïbes,FRENCH WEST,France
TX,TAN,Transportes Aéreos Nacionales,,Honduras
TY,IWD,Iberworld,IBERWORLD,Spain
TY,TPC,Air Calédonie,AIRCAL,France
TZ,AMT,ATA Airlines,AMTRAN,United States
TZ,TWG,air-taxi Europe,TWINGOOSE,Germany
U2,EZY,easyJet,EASY,United Kingdom
U3,AIA,Avies,AVIES,Estonia
U4,BHA,Buddha Air,BUDDHA AIR,Nepal
U4,PMT,PMTair,MULTITRADE,Cambodia
U5,GWY,USA3000 Airlines,GETAWAY,United States
U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia
U7,JUS,USA Jet Airlines,JET USA,United States
U7,UGA,Air Uganda,UGANDA,Uganda
U8,RNV,Armavia,ARMAVIA,Armenia
UA,UAL,United Airlines,UNITED,United States
UB,UBA,Myanma Airways,UNIONAIR,Myanmar
UC,LCO,LATAM Cargo Chile,LAN CARGO,Chile
UD,HER,Hex'Air,HEX AIRLINE,France
UE,NAS,Nasair,NASAIRWAYS,Eritrea
UE,TEP,Transeuropean Airlines,TRANSEURLINE,Russia
UF,UKM,UM Airlines,UKRAINE MEDITERRANEE,Ukraine
UG,SEN,SevenAir,S-BAR,United States
UG,TUI,Tuninter,,Tunisia
UH,USH,US Helicopter,US-HELI,United States
UI,CSW,SW Italia,SILKITALIA,Italy
UI,ECA,Eurocypria Airlines,EUROCYPRIA,Cyprus
UJ,LMU,Al Masria Universal Airlines,ALMASRIA,Egypt
UK,VTI,Vistara,Vistara,India
UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka
UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe
UN,TSO,Transaero Airlines,TRANSOVIET,Russia
UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong
UP,BHS,Bahamasair,BAHAMAS,Bahamas
UQ,OCM,O'Connor Airlines,OCONNOR,Australia
UR,UGD,Uganda Airlines,CRESTED,Uganda
US,AWE,US Airways,CACTUS,United States
UT,UTA,UTair Aviation,UTAIR,Russia
UU,REU,Air Austral,REUNION,France
UX,AEA,Air Europa,EUROPA,Spain
UY,UYC,Cameroon Airlines,CAM-AIR,Cameroon
UZ,BRQ,El-Buraq Air Transport,BURAQAIR,Libya
V0,VCV,Conviasa,CONVIASA,Venezuela
V2,AKT,Karat,AVIAKARAT,Russia
V2,RBY,Vision Airlines,RUBY,United States
V3,KRP,Carpatair,CARPATAIR,Romania
V4,REK,Reem Air,REEM AIR,Kyrgyzstan
V4,VES,Vieques Air Link,VIEQUES,United States
V5,RYL,Royal Aruban Airlines,ROYAL ARUBAN,Aruba
V5,VLI,Avolar Aerolíneas,AEROVOLAR,Mexico
V5,VPA,DanubeWings,VIP TAXI,Slovakia
V7,SNG,Air Senegal International,AIR SENEGAL,Senegal
V7,VOE,Volotea,VOLOTEA,Spain
V8,IAR,Iliamna Air Taxi,ILIAMNA AIR,United States
V8,VAS,ATRAN Cargo Airlines,ATRAN,Russian Federation
V9,BTC,BAL Bashkirian Airlines,BASHKIRIAN,Russia
V9,HCW,Star1 Airlines,STAR1,Lithuania
VA,OZW,Virgin Australia Regional Airlines,VELOCITY,Australia
VA,VOZ,Virgin Australia Airlines,VELOCITY,Australia
VB,VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico
VB,VIV,VIVA Aerobus,AEROENLACES,Mexico
VC,VAL,Voyageur Airways,VOYAGEUR,Canada
VC,VCX,Ocean Airlines,OCEANCARGO,Italy
VD,BBB,SwedJet Airways,BLACKBIRD,Sweden
VD,KPA,Kunpeng Airlines,KUNPENG,China
VD,LIB,Air Liberté,AIR LIBERTE,France
VE,AVE,Avensa,AVENSA,Venezuela
VE,EUJ,EUjet,UNION JET,Ireland
VE,VLE,C.A.I. Second,VOLA,Italy
VF,VLU,Valuair,VALUAIR,Singapore
VG,VLM,VLM Airlines,RUBENS,Belgium
VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela
VH,VVC,Viva Air Colombia,Viva Air Colombia,Colombia
VI,VDA,Volga-Dnepr Airlines,VOLGA,Russia
VJ,AFF,Africa Airways,AFRIWAYS,Benin
VJ,JTY,Jatayu Airlines,JATAYU,Indonesia
VJ,VJC,Vietjet Air,VIETJET,Vietnam
VK,FVK,FlyViking,BALDER,Norway
VK,VGN,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria
VL,VIM,Air VIA,CRYSTAL,Bulgaria
VM,VOA,Viaggio Air,VIAGGIO,Bulgaria
VN,HVN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam
VO,TYR,Tyrolean Airways,TYROLEAN,Austria
VP,VSP,VASP,VASP,Brazil
VQ,NVQ,Novo Air,NOVO AIR,Bangladesh
VR,TCV,TACV,CABOVERDE,Cape Verde
VS,VIR,Virgin Atlantic Airways,VIRGIN,United Kingdom
VT,VTA,Air Tahiti,AIR TAHITI,French Polynesia
VU,VUN,Air Ivoire,AIRIVOIRE,Ivory Coast
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine
VW,TAO,Aeromar,TRANS-AEROMAR,Mexico
VX,AES,ACES Colombia,ACES,Colombia
VX,VRD,Virgin America,REDWOOD,United States
VY,FOS,Formosa Airlines,,Taiwan
VY,VLG,Vueling Airlines,VUELING,Spain
VZ,MYT,MyTravel Airways,KESTREL,United Kingdom
VZ,TVJ,Thai Vietjet Air,THAIVIET JET,Thailand
W2,CWA,Canadian Western Airlines,CANADIAN WESTERN,Canada
W3,FYH,Flyhy Cargo Airlines,FLY HIGH,Thailand
W3,SCL,Switfair Cargo,SWIFTAIR,Canada
W4,BES,Aero Services Executive,BIRD EXPRESS,France
W5,IRM,Mahan Air,MAHAN AIR,Iran
W6,WZZ,Wizz Air,WIZZAIR,Hungary
W7,KMR,Western Pacific Airlines,KOMSTAR,United States
W7,SAH,Sayakhat Airlines,SAYAKHAT,Kazakhstan
W8,CJT,Cargojet Airways,CARGOJET,Canada
W9,AAB,Abelag Aviation,ABG,Belgium
W9,JAB,Air Bagan,AIR BAGAN,Myanmar
W9,SGR,Eastwind Airlines,STINGER,United States
W9,WUK,Wizz Air UK,WIZZ GO,United Kingdom
WA,KLC,KLM Cityhopper,CITY,Netherlands
WA,KLC,KLM Cityhopper,CITY,the Netherlands
WA,WAL,Western Airlines,WESTERN,United States
WB,RWD,Rwandair Express,RWANDAIR,Rwanda
WC,ISV,Islena De Inversiones,,Honduras
WD,AAN,Amsterdam Airlines,AMSTEL,Netherlands
WD,DSR,DAS Air Cargo,DAIRAIR,Uganda
WD,MWM,Modern Transporte Aereo De Carga,MODERNAIR,Brazil
WD,WDL,WDL Aviation,WDL,Germany
WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,United States
WE,THD,Thai Smile Airways,THAI SMILE,Thailand
WF,WIF,Widerøe,WIDEROE,Norway
WG,SWG,Sunwing Airlines,SUNWING,Canada
WH,CNW,China Northwest Airlines,CHINA NORTHWEST,China
WH,WEB,WebJet Linhas Aéreas,WEB-BRASIL,Brazil
WK,AFB,American Falcon,AMERICAN FALCON,Argentina
WK,EDW,Edelweiss Air,EDELWEISS,Switzerland
WN,SWA,Southwest Airlines,SOUTHWEST,United States
WO,WOA,World Airways,WORLD,United States
WO,WSW,Swoop,SWOOP,Canada
WP,ATW,Air Antwerp,DEVIL,Belgium
WQ,SWQ,Swift Air (Interstate Equipment Leasing),SWIFTFLIGHT,United States
WR,HRH,Royal Tongan Airlines,TONGA ROYAL,Tonga
WR,WEN,WestJet Encore,ENCORE,Canada
WS,WJA,WestJet,WESTJET,Canada
WT,WSG,Wasaya Airways,WASAYA,Canada
WV,SWV,Swe Fly,FLYING SWEDE,Sweden
WW,BMI,Bmibaby,BABY,United Kingdom
WW,WOW,WOW air,WOW air,Iceland
WX,BCY,CityJet,CITY JET,Ireland
WX,BCY,CityJet,CITY-IRELAND,Ireland
WY,OMA,Oman Air,OMAN AIR,Oman
WZ,WSF,West African Airlines,,Benin
X3,HLX,Hapag-Lloyd Express ( TUIfly ),YELLOW CAB,Germany
X7,CHF,Chitaavia,CHITA,Russia
X9,NVD,Avion Express,NORDVIND,Lithuania
XC,CAI,Corendon Airlines,CORENDON,Turkey
XF,VLK,Vladivostok Air,VLADAIR,Russia
XG,CLI,Clickair,CLICKJET,Spain
XG,SXD,Sunexpress Deutschland,SUNRISE,Germany
XJ,MES,Mesaba Airlines,MESABA,United States
XJ,TAX,Thai AirAsia X,EXPRESS WING,Thailand
XK,CCM,Air Corsica,CORSICA,France
XK,CCM,Corse Méditerranée,CORSICA,France
XL,LNE,Aerolane,AEROLANE,Ecuador
XN,XAR,XpressAir,XPRESS,Indonesia
XO,CXH,China Xinhua Airlines,XINHUA,China
XO,LTE,LTE International Airways,FUN JET,Spain
XP,CXP,Xtra Airways,CASINO EXPRESS,United States
XQ,SXS,SunExpress,SUNEXPRESS,Turkey
XS,SIT,SITA,,Belgium
XT,AXL,Air Exel,EXEL COMMUTER,Netherlands
XT,SKT,SkyStar Airways,SKY YOU,Thailand
XW,NCT,NokScoot,BIG BIRD,Thailand
Y0,EMJ,Yellow Air Taxi/Friendship Airways,,United States
Y2,AFJ,Alliance Air,JAMBO,Uganda
Y2,GSM,Flyglobespan,GLOBESPAN,United Kingdom
Y4,VOI,Volaris,VOLARIS,Mexico
Y5,GMR,Golden Myanmar Airlines,GOLDEN MYANMAR,Myanmar
Y5,PCE,Pace Airlines,PACE,United States
Y6,BTV,Batavia Air,BATAVIA,Indonesia
Y8,YZR,Yangtze River Express,YANGTZE RIVER,China
Y9,IRK,Kish Air,KISHAIR,Iran
YB,BRJ,Borajet,BORA JET,Turkey
YD,CAT,Cologne Air Transport GmbH,,Germany
YE,ACQ,Aryan Cargo Express,,India
YH,WCW,West Caribbean Airways,WEST,Colombia
YI,RSI,Air Sunshine,AIR SUNSHINE,United States
YK,KYV,Cyprus Turkish Airlines,AIRKIBRIS,Turkey
YL,LLM,Yamal Airlines,YAMAL,Russia
YM,MGX,Montenegro Airlines,MONTENEGRO,Montenegro
YQ,LCT,TAR Aerolineas,TAR,Mexico
YS,RAE,Régional Compagnie Aérienne Européenne,REGIONAL EUROPE,France
YT,NYT,Yeti Airlines,YETI AIRLINES,Nepal
YT,TGA,Air Togo,AIR TOGO,Togo
YU,ADM,Dominair,DOMINAIR,Dominican Republic
YV,ASH,Mesa Airlines,AIR SHUTTLE,United States
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain
YX,MEP,Midwest Airlines,MIDEX,United States
Z2,EZD,Philippines AirAsia,REDHOT,Philippines
Z3,SMJ,Avient Aviation,AVAVIA,Zimbabwe
Z4,OOM,Zoom Airlines,ZOOM,Canada
Z5,GMG,GMG Airlines,GMG,Bangladesh
Z6,UDN,Dniproavia,DNIEPRO,Ukraine
Z7,ADK,ADC Airlines,ADCO,Nigeria
Z8,AZN,Línea Aérea Amaszonas,,Bolivia
ZA,CYD,AccessAir,CYCLONE,United States
ZA,SUW,Interavia Airlines,ASTAIR,Russia
ZB,BUB,Air Bourbon,BOURBON,Reunion
ZB,MON,Monarch Airlines,MONARCH,United Kingdom
ZD,EWR,Ewa Air,MAYOTTE AIR,France
ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany
ZE,ESR,Eastar Jet,EASTAR,South Korea
ZE,LCD,Líneas Aéreas Azteca,LINEAS AZTECA,Mexico
ZG,VVM,Viva Macau,JACKPOT,Macao
ZH,CSZ,Shenzhen Airlines,SHENZHEN AIR,China
ZI,AAF,Aigle Azur,AIGLE AZUR,France
ZK,GLA,Great Lakes Airlines,LAKES AIR,United States
ZL,RXA,Regional Express,REX,Australia
ZP,AZP,Amaszonas Paraguay,GUARANI,Paraguay
ZP,AZQ,Silk Way Airlines,SILK LINE,Azerbaijan
ZS,AZI,Azzurra Air,AZZURRA,Italy
ZS,SMY,Sama Airlines,NAJIM,Saudi Arabia
ZT,AWC,Titan Airways,ZAP,United Kingdom
ZU,HCY,Helios Airways,HELIOS,Cyprus
ZV,AMW,Air Midwest,AIR MIDWEST,United States
ZW,AWI,Air Wisconsin,WISCONSIN,United States
ZX,ABL,Air BC,AIRCOACH,Canada
ZX,GGN,Air Georgian,GEORGIAN,Canada
ZY,SHY,Sky Airlines,ANTALYA BIRD,Turkey
